Id,Target
4109/24_H11_1,25
4109/24_H11_2,25
4109/23_H11_1,25
4109/23_H11_2,25
4109/25_H11_1,25
4109/25_H11_2,25
5624/69_H11_1,14 5
5624/69_H11_2,14 5
5624/91_H11_1,14
5624/91_H11_2,14
5624/68_H11_1,14 5
5624/68_H11_2,14 5
24451/261_G2_1,23
24451/261_G2_2,23
24451/224_G2_1,23
24451/224_G2_2,23
2024/1422_H6_1,24 21
2024/1422_H6_2,24 21
2024/59_H5_1,21
2024/59_H5_2,21
38922/601_A5_1,20 10 9 8
38922/601_A5_4,20 10 9 8
38922/599_A5_1,20 10 9 8
38922/599_A5_2,20 10 9 8
9569/921_H5_1,25 2
9569/921_H5_2,25 2
9569/931_H5_3,25 2
9569/931_H5_4,25 2
9569/923_H5_1,25 2
9569/923_H5_3,25 2
36360/432_C2_1,25
36360/432_C2_2,25
50779/844_D10_1,0
50779/844_D10_2,0
50779/1422_A9_1,0
50779/1422_A9_2,0
50779/835_D10_1,0
50779/835_D10_2,0
24301/261_A6_1,0
24301/261_A6_2,0
24301/226_A6_1,0
24301/226_A6_2,0
24301/224_A6_1,0
24301/224_A6_2,0
39978/415_D8_1,0
39978/415_D8_2,0
39978/411_D8_1,0
39978/411_D8_2,0
39978/416_D8_1,0
39978/416_D8_2,0
44431/556_B9_1,25 18 0
44431/556_B9_3,25 18 0
44431/516_B9_1,25 18 0
44431/516_B9_2,25 18 0
44431/519_B9_1,18 0
44431/519_B9_2,18 0
19358/154_A10_1,25 21
19358/154_A10_2,25 21
19358/152_A10_1,25 21
19358/152_A10_2,25 21
21780/187_A5_1,25
21780/187_A5_2,25
21780/188_A5_1,25 21
21780/188_A5_2,25 21
21780/246_A5_1,25 0
21780/246_A5_2,25 0
41325/488_F2_2,6
41325/488_F2_3,6
41325/494_F2_1,6
41325/494_F2_2,6
41325/485_F2_1,6
41325/485_F2_2,6
43508/727_A3_2,6
43508/727_A3_5,6
49606/723_E12_1,20 10 9 8
49606/723_E12_3,20 10 9 8
49606/711_E12_1,20 10 9 8
49606/711_E12_2,20 10 9 8
28957/1566_G9_1,21 4
28957/1566_G9_3,21 4
28957/1553_H5_4,4
28957/1553_H5_6,4
28957/1568_G9_1,4
28957/1568_G9_3,4
4205/674_G12_2,23
4205/674_G12_7,23
4205/668_G12_3,23
4205/668_G12_4,23
