Id,Target
ENSG00000000003-TSPAN6_0,25
ENSG00000000457-SCYL3_0,14 5
ENSG00000000460-C1orf112_0,23
ENSG00000000938-FGR_0,24 21
ENSG00000001084-GCLC_1,25 2
ENSG00000001084-GCLC_0,25 2
ENSG00000001167-NFYA_0,0
ENSG00000001460-STPG1_0,0
ENSG00000001461-NIPAL3_0,0
ENSG00000001497-LAS1L_0,0 25 18
ENSG00000001629-ANKIB1_0,25 21
ENSG00000001629-ANKIB1_1,25 21
ENSG00000001630-CYP51A1_0,6
ENSG00000001630-CYP51A1_1,6
ENSG00000002016-RAD52_0,4 21
ENSG00000002330-BAD_0,23
ENSG00000002330-BAD_1,23
ENSG00000002549-LAP3_0,25 0
ENSG00000002586-CD99_0,7
ENSG00000002746-HECW1_0,25
ENSG00000002822-MAD1L1_0,1 0
ENSG00000002834-LASP1_1,25 21 13
ENSG00000002834-LASP1_0,25 21 13
ENSG00000002919-SNX11_0,25
ENSG00000002933-TMEM176A_0,23
ENSG00000003096-KLHL13_0,25
ENSG00000003137-CYP26B1_0,25
ENSG00000003147-ICA1_0,25
ENSG00000003249-DBNDD1_0,25 4
ENSG00000003393-ALS2_0,25 11
ENSG00000003400-CASP10_0,7
ENSG00000003402-CFLAR_1,25 21 5
ENSG00000003402-CFLAR_2,25 21 5
ENSG00000003402-CFLAR_0,25 21 5
ENSG00000003436-TFPI_0,25 11
ENSG00000003756-RBM5_1,0
ENSG00000003756-RBM5_0,0
ENSG00000003989-SLC7A2_0,21
ENSG00000004142-POLDIP2_0,23
ENSG00000004468-CD38_0,21
ENSG00000004478-FKBP4_0,25 0
ENSG00000004478-FKBP4_1,25 0
ENSG00000004487-KDM1A_1,0 25
ENSG00000004487-KDM1A_0,0 25
ENSG00000004534-RBM6_0,26 4
ENSG00000004660-CAMKK1_0,25
ENSG00000004700-RECQL_2,0
ENSG00000004700-RECQL_0,0
ENSG00000004700-RECQL_1,0
ENSG00000004766-VPS50_0,25 21
ENSG00000004777-ARHGAP33_0,12 25 21
ENSG00000004779-NDUFAB1_0,23 0
ENSG00000004838-ZMYND10_0,25 21
ENSG00000004864-SLC25A13_0,23
ENSG00000004866-ST7_0,0 25
ENSG00000004866-ST7_1,0 25
ENSG00000004897-CDC27_0,0
ENSG00000004897-CDC27_1,0
ENSG00000004897-CDC27_2,0
ENSG00000004961-HCCS_0,23
ENSG00000004975-DVL2_0,5 0
ENSG00000004975-DVL2_1,5 0
ENSG00000005001-PRSS22_0,0
ENSG00000005007-UPF1_0,0
ENSG00000005020-SKAP2_1,25 0
ENSG00000005020-SKAP2_0,25 0
ENSG00000005022-SLC25A5_0,23
ENSG00000005059-MCUB_0,25 0
ENSG00000005073-HOXA11_0,0
ENSG00000005075-POLR2J_0,0
ENSG00000005100-DHX33_0,2
ENSG00000005102-MEOX1_0,23 2
ENSG00000005156-LIG3_0,0
ENSG00000005189-AC004381.6_0,6 1 2
ENSG00000005194-CIAPIN1_0,23
ENSG00000005206-SPPL2B_0,21 19 0
ENSG00000005238-FAM214B_0,3
ENSG00000005249-PRKAR2B_0,19 25 7 23
ENSG00000005302-MSL3_0,0
ENSG00000005339-CREBBP_0,5 0
ENSG00000005436-GCFC2_0,0
ENSG00000005448-WDR54_0,25
ENSG00000005471-ABCB4_0,21 12 13 0
ENSG00000005486-RHBDD2_1,7
ENSG00000005486-RHBDD2_0,7
ENSG00000005700-IBTK_0,0
ENSG00000005801-ZNF195_0,25
ENSG00000005812-FBXL3_1,5
ENSG00000005812-FBXL3_0,5
ENSG00000005884-ITGA3_0,21
ENSG00000005889-ZFX_0,2 0
ENSG00000005889-ZFX_1,2 0
ENSG00000006007-GDE1_0,2
ENSG00000006025-OSBPL7_0,25 0
ENSG00000006042-TMEM98_1,0
ENSG00000006042-TMEM98_0,0
ENSG00000006047-YBX2_0,3
ENSG00000006062-MAP3K14_0,25 3
ENSG00000006071-ABCC8_0,25 7 2
ENSG00000006118-TMEM132A_0,23
ENSG00000006194-ZNF263_1,25 17 0
ENSG00000006194-ZNF263_0,25 17 0
ENSG00000006210-CX3CL1_0,21
ENSG00000006282-SPATA20_0,0
ENSG00000006327-TNFRSF12A_0,25 21
ENSG00000006377-DLX6_0,5
ENSG00000006432-MAP3K9_0,2
ENSG00000006453-BAIAP2L1_0,25 21
ENSG00000006453-BAIAP2L1_1,25 21
ENSG00000006453-BAIAP2L1_2,25 21
ENSG00000006459-KDM7A_0,2 0
ENSG00000006468-ETV1_0,0
ENSG00000006530-AGK_0,23
ENSG00000006576-PHTF2_0,25 0
ENSG00000006607-FARP2_0,25
ENSG00000006611-USH1C_0,25
ENSG00000006634-DBF4_0,5
ENSG00000006638-TBXA2R_0,21 4
ENSG00000006652-IFRD1_0,25 21
ENSG00000006695-COX10_0,23 25 2
ENSG00000006704-GTF2IRD1_0,0 25
ENSG00000006747-SCIN_0,21
ENSG00000006747-SCIN_1,21
ENSG00000006756-ARSD_0,20
ENSG00000006837-CDKL3_0,0
ENSG00000007001-UPP2_1,23
ENSG00000007001-UPP2_0,23
ENSG00000007038-PRSS21_0,25
ENSG00000007047-MARK4_0,25
ENSG00000007080-CCDC124_0,25 21
ENSG00000007080-CCDC124_1,25 21
ENSG00000007168-PAFAH1B1_0,19
ENSG00000007202-KIAA0100_0,25 4
ENSG00000007237-GAS7_0,12 13 21
ENSG00000007312-CD79B_0,25 0 21
ENSG00000007314-SCN4A_0,18 0
ENSG00000007341-ST7L_0,19
ENSG00000007372-PAX6_0,0
ENSG00000007376-RPUSD1_0,25 7
ENSG00000007392-LUC7L_1,23
ENSG00000007392-LUC7L_0,23
ENSG00000007520-TSR3_0,25 7
ENSG00000007541-PIGQ_1,7 0
ENSG00000007541-PIGQ_0,7 0
ENSG00000007545-CRAMP1_0,25 2
ENSG00000007923-DNAJC11_0,25
ENSG00000008083-JARID2_0,23
ENSG00000008086-CDKL5_1,0
ENSG00000008086-CDKL5_0,0
ENSG00000008128-CDK11A_0,25 4
ENSG00000008128-CDK11A_1,25 4
ENSG00000008130-NADK_0,0
ENSG00000008196-TFAP2B_0,0
ENSG00000008226-DLEC1_0,25
ENSG00000008256-CYTH3_0,25 0
ENSG00000008294-SPAG9_1,25 18
ENSG00000008294-SPAG9_0,25 18
ENSG00000008311-AASS_0,23
ENSG00000008311-AASS_1,23
ENSG00000008311-AASS_2,23
ENSG00000008323-PLEKHG6_0,19
ENSG00000008324-SS18L2_0,23 2
ENSG00000008382-MPND_0,2
ENSG00000008394-MGST1_0,6 23
ENSG00000008405-CRY1_0,14 1
ENSG00000008441-NFIX_0,0
ENSG00000008853-RHOBTB2_0,21
ENSG00000008869-HEATR5B_0,25 2
ENSG00000008869-HEATR5B_1,25 2
ENSG00000008952-SEC62_0,6 11
ENSG00000008988-RPS20_0,25 6
ENSG00000009307-CSDE1_1,25
ENSG00000009307-CSDE1_0,25
ENSG00000009335-UBE3C_0,23 0 21
ENSG00000009413-REV3L_0,0
ENSG00000009724-MASP2_0,7
ENSG00000009765-IYD_0,21
ENSG00000009780-FAM76A_0,25
ENSG00000009844-VTA1_0,25 0
ENSG00000009954-BAZ1B_0,5
ENSG00000010017-RANBP9_0,25 0
ENSG00000010030-ETV7_1,0
ENSG00000010030-ETV7_0,0
ENSG00000010072-SPRTN_0,0
ENSG00000010165-METTL13_0,25
ENSG00000010256-UQCRC1_0,23 25
ENSG00000010278-CD9_0,21
ENSG00000010292-NCAPD2_0,25
ENSG00000010292-NCAPD2_1,25
ENSG00000010318-PHF7_1,0 7
ENSG00000010318-PHF7_0,0 7
ENSG00000010327-STAB1_0,25 0 21
ENSG00000010361-FUZ_0,25
ENSG00000010379-SLC6A13_1,23 25 2
ENSG00000010379-SLC6A13_0,23 25 2
ENSG00000010438-PRSS3_0,6
ENSG00000010539-ZNF200_0,23
ENSG00000010610-CD4_0,21
ENSG00000010626-LRRC23_0,2
ENSG00000010626-LRRC23_1,2
ENSG00000010704-HFE_0,23 1
ENSG00000010803-SCMH1_0,0 5
ENSG00000010803-SCMH1_1,0 5
ENSG00000010810-FYN_0,25 21
ENSG00000010810-FYN_1,25 21
ENSG00000010818-HIVEP2_0,0
ENSG00000011007-ELOA_0,4 25
ENSG00000011009-LYPLA2_0,25 0
ENSG00000011021-CLCN6_0,25 21
ENSG00000011052-NME1-NME2_0,25
ENSG00000011105-TSPAN9_0,25 7 0
ENSG00000011114-BTBD7_0,13
ENSG00000011243-AKAP8L_0,4
ENSG00000011258-MBTD1_0,25
ENSG00000011260-UTP18_0,2 1
ENSG00000011275-RNF216_0,25 0
ENSG00000011295-TTC19_1,23
ENSG00000011295-TTC19_0,23
ENSG00000011304-PTBP1_0,0
ENSG00000011332-DPF1_0,25 23 0
ENSG00000011376-LARS2_0,23 0
ENSG00000011422-PLAUR_0,21
ENSG00000011426-ANLN_0,0
ENSG00000011451-WIZ_1,0
ENSG00000011451-WIZ_0,0
ENSG00000011454-RABGAP1_1,25
ENSG00000011454-RABGAP1_0,25
ENSG00000011478-QPCTL_0,7
ENSG00000011485-PPP5C_0,25
ENSG00000011566-MAP4K3_0,19
ENSG00000012061-ERCC1_2,0
ENSG00000012061-ERCC1_1,0
ENSG00000012061-ERCC1_0,0
ENSG00000012174-MBTPS2_0,25 23 0
ENSG00000012211-PRICKLE3_0,19 21
ENSG00000012504-NR1H4_0,0
ENSG00000012660-ELOVL5_2,6
ENSG00000012660-ELOVL5_1,6
ENSG00000012660-ELOVL5_0,6
